African collared dove,Columbidae,Columbiformes,Streptopelia
African crake,Rallidae,Gruiformes,Crecopsis
African darter,Anhingidae,Suliformes,Anhinga
African skimmer,Laridae,Charadriiformes,Rynchops
African swamphen,Rallidae,Gruiformes,Porphyrio
Alpine accentor,Prunellidae,Passeriformes,Prunella
Alpine chough,Corvidae,Passeriformes,Pyrrhocorax
Alpine swift,Apodidae,Apodiformes,Tachymarptis
American golden plover,Charadriidae,Charadriiformes,Pluvialis
Arabian babbler,Leiothrichidae,Passeriformes,Argya
Arabian warbler,Sylviidae,Passeriformes,Curruca
Arctic tern,Laridae,Charadriiformes,Sterna
Arctic warbler,Phylloscopidae,Passeriformes,Phylloscopus
Armenian gull,Laridae,Charadriiformes,Larus
Ashy drongo,Dicruridae,Passeriformes,Dicrurus
Asian crimson-winged finch,Fringillidae,Passeriformes,Rhodopechys
Asian desert warbler,Sylviidae,Passeriformes,Curruca
Asian house martin,Hirundinidae,Passeriformes,Delichon
Atlantic petrel,Procellariidae,Procellariiformes,Pterodroma
Atlantic puffin,Alcidae,Charadriiformes,Fratercula
Audouin's gull,Laridae,Charadriiformes,Ichthyaetus
Baillon's crake,Rallidae,Gruiformes,Zapornia
Baird's sandpiper,Scolopacidae,Charadriiformes,Calidris
Balearic shearwater,Procellariidae,Procellariiformes,Puffinus
Bar-tailed godwit,Scolopacidae,Charadriiformes,Limosa
Bar-tailed lark,Alaudidae,Passeriformes,Ammomanes
Barn swallow,Hirundinidae,Passeriformes,Hirundo
Barnacle goose,Anatidae,Anseriformes,Branta
Barolo shearwater,Procellariidae,Procellariiformes,Puffinus
Barred warbler,Sylviidae,Passeriformes,Curruca
Basra reed warbler,Acrocephalidae,Passeriformes,Acrocephalus
Bateleur,Accipitridae,Accipitriformes,Terathopius
Bearded reedling,Panuridae,Passeriformes,Panurus
Bearded vulture,Accipitridae,Accipitriformes,Gypaetus
Bimaculated lark,Alaudidae,Passeriformes,Melanocorypha
Black-bellied sandgrouse,Pteroclidae,Columbiformes,Pterocles
Black-crowned night heron,Ardeidae,Pelecaniformes,Nycticorax
Black-crowned sparrow-lark,Alaudidae,Passeriformes,Eremopterix
Black-headed bunting,Emberizidae,Passeriformes,Emberiza
